feature_set,condition,pair_count,mean_burrows_delta,median_burrows_delta,min_burrows_delta,max_burrows_delta,std_burrows_delta
function_word,original,15,0.450105353,0.43086034,0.239126412,0.620887969,0.092604416
function_word,paraphrase,15,0.357475739,0.359524985,0.210344215,0.488849242,0.073098674
function_word,modernize,15,0.393822044,0.387953493,0.229874802,0.524505386,0.079085442
function_word,simplify,15,0.376919277,0.376552465,0.225416612,0.507799651,0.077145701
all_features,original,15,0.466478556,0.454484472,0.283231143,0.683517025,0.09835197
all_features,paraphrase,15,0.382225559,0.376581254,0.26624702,0.471401814,0.061632413
all_features,modernize,15,0.417092414,0.397850833,0.249825907,0.565860821,0.082315496
all_features,simplify,15,0.40530839,0.385600056,0.255582447,0.513741193,0.075120124
