passage_id,condition,original_word_count,rewritten_word_count,length_ratio,rewritten_sentence_count,rewritten_text_sha256,qc_status,qc_flags
AUSTEN_EMMA_012,simplify,566,533,0.941696,37,1afc5caffa89200a5ad5334c7eaa8bb05fc2648aafbf977088b644bb405c5b76,pass,
AUSTEN_EMMA_013,paraphrase,563,520,0.923623,48,79ada91b0eafa413ecbda185009ca8c5aa4ff90f2682dc9e4cb7549ce381fb6d,pass,
AUSTEN_EMMA_013,modernize,563,529,0.939609,50,ddf6df8a82c803e9616a41c7f9254762dfc42513e18b02a374cc16bc57540835,pass,
AUSTEN_EMMA_013,simplify,563,520,0.923623,53,65c50c9e3b1c110a1d0d8d4b090afd7b505868c4a615ca1c2e379a235c98c468,pass,
AUSTEN_EMMA_014,paraphrase,552,511,0.925725,36,ebfc8aba16715a357830fa68b3496e37078a1652140f009f711feec2f20a3ade,pass,
AUSTEN_EMMA_014,modernize,552,525,0.951087,36,a3977295215e28605bf62b306652d79ea5a92b08163e7892b6beb9527b66cf2f,pass,
AUSTEN_EMMA_014,simplify,552,502,0.90942,37,fa42e903fdd57201bae2747f0e401d692ae9e2459a1564459bd15a13141ccb11,pass,
AUSTEN_EMMA_015,paraphrase,597,579,0.969849,47,3714bba36013bedbaa977e0e7be0887b113f181366bd4a379cc8b1f830705406,pass,
AUSTEN_EMMA_015,modernize,597,577,0.966499,49,811c04d1332f9fe2ed14512655b4ac8d69e7b4118f0689c62891b93868b075b4,pass,
AUSTEN_EMMA_015,simplify,597,601,1.0067,51,ae252fd78a6425d9a1615e1b4b836ddd311c9fe93c8ed394653b30bf7560511f,pass,
AUSTEN_EMMA_016,paraphrase,550,548,0.996364,51,b1ba29eda6bc9ee5a2c144ac7c5a306658fa134895f0f1a9ac0ebcaf8ff65f77,pass,
AUSTEN_EMMA_016,modernize,550,550,1.0,51,6926b1fe395923d40342553c803405ee7ee19dd5c67500454a696c7840d7bc51,pass,
AUSTEN_EMMA_016,simplify,550,551,1.001818,54,904985073d4dfc441c40f0d4185664f4632430a5196c1200541e2e8950cad0b8,pass,
AUSTEN_EMMA_017,paraphrase,556,503,0.904676,36,cd49f89fb4e9c82908d2d2449de0e68168d7c017a1c022e9c011550e55f23dcc,pass,
AUSTEN_EMMA_017,modernize,556,517,0.929856,37,ba0dbb9b0b7c8ca11a100418f345e5bb4dd01c8ef9701e48ad6c0c57f041f9a1,pass,
AUSTEN_EMMA_017,simplify,556,529,0.951439,36,fc3767de35a85d4a7a78248f8ab97f89f9dddf0777e5be02c358716e380ff4c6,pass,
AUSTEN_EMMA_018,paraphrase,601,556,0.925125,50,99a6fcbc3c2b921479366d1a4e756a3d8e9a0f7bacc6a5f25eb6f8efddec6dd2,pass,
AUSTEN_EMMA_018,modernize,601,593,0.986689,50,c2685a44c8b7042d85ac38f61204d555b9c532a9cd6a396fb5c454b031cefa60,pass,
AUSTEN_EMMA_018,simplify,601,539,0.896839,50,e01075a64afff2a4372009fac34dff83c7fb6e7cf9ff2c25e592ddd276dfdcfb,pass,
AUSTEN_EMMA_019,paraphrase,566,555,0.980565,31,9171088d52b6317f1d118a113150270fcb0b6b0a7b01a6c78f0994ed286cbf1a,pass,
AUSTEN_EMMA_019,modernize,566,557,0.984099,32,cf0e48d3caeb310c483f2dfe578792af9b9d362fd267d8f4049f08966d123229,pass,
AUSTEN_EMMA_019,simplify,566,520,0.918728,30,8ab1d810bc441331cfecffd56bfcd1d50e99b18c1d07ca81392eeb078fdd057d,pass,
