model,split,condition,author_id,precision,recall,f1,support
diagonal_gaussian_nb,validation,modernize,dickens,0.470588,0.888889,0.615385,9
diagonal_gaussian_nb,validation,modernize,poe,0.625,0.555556,0.588235,9
diagonal_gaussian_nb,validation,modernize,shelley,0.615385,0.888889,0.727273,9
diagonal_gaussian_nb,validation,modernize,twain,1.0,0.333333,0.5,9
diagonal_gaussian_nb,validation,modernize,wilde,0.6,0.333333,0.428571,9
diagonal_gaussian_nb,test,modernize,austen,0.75,1.0,0.857143,9
diagonal_gaussian_nb,test,modernize,dickens,0.583333,0.777778,0.666667,9
diagonal_gaussian_nb,test,modernize,poe,0.714286,0.555556,0.625,9
diagonal_gaussian_nb,test,modernize,shelley,0.666667,0.888889,0.761905,9
diagonal_gaussian_nb,test,modernize,twain,0.666667,0.666667,0.666667,9
diagonal_gaussian_nb,test,modernize,wilde,1.0,0.222222,0.363636,9
linear_discriminant_shrinkage,validation,modernize,austen,0.888889,0.888889,0.888889,9
linear_discriminant_shrinkage,validation,modernize,dickens,0.555556,0.555556,0.555556,9
linear_discriminant_shrinkage,validation,modernize,poe,0.75,1.0,0.857143,9
linear_discriminant_shrinkage,validation,modernize,shelley,0.727273,0.888889,0.8,9
linear_discriminant_shrinkage,validation,modernize,twain,0.6,0.333333,0.428571,9
linear_discriminant_shrinkage,validation,modernize,wilde,0.375,0.333333,0.352941,9
linear_discriminant_shrinkage,test,modernize,austen,0.818182,1.0,0.9,9
linear_discriminant_shrinkage,test,modernize,dickens,0.571429,0.444444,0.5,9
linear_discriminant_shrinkage,test,modernize,poe,0.555556,0.555556,0.555556,9
linear_discriminant_shrinkage,test,modernize,shelley,0.7,0.777778,0.736842,9
linear_discriminant_shrinkage,test,modernize,twain,1.0,0.777778,0.875,9
linear_discriminant_shrinkage,test,modernize,wilde,0.5,0.555556,0.526316,9
nearest_centroid,validation,simplify,austen,0.6,1.0,0.75,9
nearest_centroid,validation,simplify,dickens,0.5,0.444444,0.470588,9
nearest_centroid,validation,simplify,poe,0.636364,0.777778,0.7,9
nearest_centroid,validation,simplify,shelley,0.875,0.777778,0.823529,9
nearest_centroid,validation,simplify,twain,1.0,0.333333,0.5,9
nearest_centroid,validation,simplify,wilde,0.333333,0.333333,0.333333,9
nearest_centroid,test,simplify,austen,0.818182,1.0,0.9,9
nearest_centroid,test,simplify,dickens,0.555556,0.555556,0.555556,9
