feature_set,condition,author_a,author_b,burrows_delta,mean_absolute_z_distance,euclidean_z_distance,feature_count
all_features,paraphrase,austen,wilde,0.372477648,0.372477648,6.994597248,205
all_features,paraphrase,dickens,poe,0.421373229,0.421373229,7.731841357,205
all_features,paraphrase,dickens,shelley,0.389073853,0.389073853,7.458127494,205
all_features,paraphrase,dickens,twain,0.283617812,0.283617812,5.244027163,205
all_features,paraphrase,dickens,wilde,0.26624702,0.26624702,4.922608871,205
all_features,paraphrase,poe,shelley,0.316316187,0.316316187,5.822975944,205
all_features,paraphrase,poe,twain,0.462410784,0.462410784,8.397971073,205
all_features,paraphrase,poe,wilde,0.344077929,0.344077929,6.427307807,205
all_features,paraphrase,shelley,twain,0.445800863,0.445800863,8.418832502,205
all_features,paraphrase,shelley,wilde,0.357122252,0.357122252,6.805685415,205
all_features,paraphrase,twain,wilde,0.351642437,0.351642437,6.533375448,205
all_features,modernize,austen,dickens,0.380159646,0.380159646,7.085343084,205
all_features,modernize,austen,poe,0.511280609,0.511280609,9.367525503,205
all_features,modernize,austen,shelley,0.476939077,0.476939077,8.207477905,205
all_features,modernize,austen,twain,0.486592349,0.486592349,8.891867499,205
all_features,modernize,austen,wilde,0.380029442,0.380029442,7.09541275,205
all_features,modernize,dickens,poe,0.465672676,0.465672676,8.476742039,205
all_features,modernize,dickens,shelley,0.415245532,0.415245532,7.813396007,205
all_features,modernize,dickens,twain,0.328919106,0.328919106,5.980461982,205
all_features,modernize,dickens,wilde,0.249825907,0.249825907,4.570031744,205
all_features,modernize,poe,shelley,0.336169438,0.336169438,6.144269896,205
all_features,modernize,poe,twain,0.565860821,0.565860821,10.225414164,205
all_features,modernize,poe,wilde,0.388654688,0.388654688,7.253390153,205
all_features,modernize,shelley,twain,0.516844251,0.516844251,9.617910099,205
all_features,modernize,shelley,wilde,0.397850833,0.397850833,7.294978999,205
all_features,modernize,twain,wilde,0.356341843,0.356341843,6.477909073,205
all_features,simplify,austen,dickens,0.385600056,0.385600056,7.183655681,205
