batch_label,api_key_env_var,request_start_index,request_end_index_exclusive,assigned_requests,parsed_rows,model_provider,model_name,temperature,top_p,paraphrase_rows,modernize_rows,simplify_rows,qc_pass,qc_warning,qc_fail,length_warning,length_hard_warning,prompt_or_source_leakage,empty_rewritten_text,json_parse_failed_used_raw_content,raw_response_path,raw_response_sha256,parsed_response_path,parsed_response_sha256,started_utc,finished_utc
batch_A,GEMINI_API_KEY_1,0,360,360,360,google_gemini,gemini-3.1-flash-lite,0.2,1.0,120,120,120,340,20,0,20,6,0,0,1,data/interim/gemini_full/batch_A/rewrite_responses_raw.jsonl,18fe937b737f3ecec7e0f787863db4623ec1cd0ac62c6cf74330874de1523bf1,data/interim/gemini_full/batch_A/rewrite_responses_parsed.csv,8dcd2a1fbb92592b1acd28e298c797805b7a2b0ce75a6b9a75be6558513a9cb9,2026-05-29T10:25:03.252545+00:00,2026-05-29T12:18:37.250697+00:00
batch_B,GEMINI_API_KEY_2,360,720,360,360,google_gemini,gemini-3.1-flash-lite,0.2,1.0,120,120,120,299,60,1,61,30,1,0,0,data/interim/gemini_full/batch_B/rewrite_responses_raw.jsonl,bc8c512e9d7d648b3a67d908f2f58b497d2222a7b708ef38e0ff3db05e3a2aff,data/interim/gemini_full/batch_B/rewrite_responses_parsed.csv,00caac1f76e57ddd067e06e291dba3d97fbc1818071abf3f80f052388b991320,2026-05-29T10:25:03.252545+00:00,2026-05-29T12:18:37.250697+00:00
batch_C,GEMINI_API_KEY_3,720,1080,360,360,google_gemini,gemini-3.1-flash-lite,0.2,1.0,120,120,120,328,30,2,30,8,2,0,0,data/interim/gemini_full/batch_C/rewrite_responses_raw.jsonl,0b402cc35e7514f2264303abc114f47023c4e37d34c4f446ca8ba2c935ec071e,data/interim/gemini_full/batch_C/rewrite_responses_parsed.csv,c178ae04f027fbb163ee437a83d4abdfbe9bb1fef0edc35909ee5f555a5d0a16,2026-05-29T10:25:03.252545+00:00,2026-05-29T12:18:37.250697+00:00
